iter	RMSE
0	1.537708866
1	1.485695904
2	1.433769551
3	1.37915122
4	1.328452134
5	1.2773507
6	1.229399046
7	1.183698022
8	1.143352432
9	1.101199929
10	1.063841357
11	1.031114689
12	0.9959396867
13	0.9636421314
14	0.9308356566
15	0.9019397971
16	0.8742244219
17	0.8478464344
18	0.8211461842
19	0.79380219
20	0.768829801
21	0.7423130283
22	0.7203317895
23	0.6958718271
24	0.6731642383
25	0.6543985154
26	0.6329688524
27	0.6138540178
28	0.5987523795
29	0.581950887
30	0.5657139278
31	0.5514260527
32	0.5345030529
33	0.5199716216
34	0.5057908211
35	0.4912579362
36	0.4788548175
37	0.4654887432
321309
40	1.154969148
41	1.146597336
42	1.137422548443	1.128887962444	1.120599085445	1.112568381446	1.10385628
47	1.095569078448	1.087441282449	1.079170934550	1.070943232551	1.062722611552	1.054627318553	1.04651019
54	1.03911958
55	1.030739258
56	1.023160714
57	1.01480886
58	1.007126032
59	0.999825375
60	0.9919765494
61	0.9848509476
62	0.977376184
63	0.9697323123
64	0.9621054854
65	0.9556192304666	0.9484453822
67	0.9416437463
68	0.9344761148
69	0.9281083216
70	0.9208643123
71	072	1.333557872	0.9067591193
7374	1.31131284774	0.8938088744
75	0.887350787
76	077	1.468770777	78	1.456366778	79	1.444793807980	1.43325981	881	1.42102082	182	1.40879083	183	1.39651684	184	1.38553985	185	1.37430486	186	1.36275587	187	1.35044788	188	1.33840389	89	1.327589990	90	1.31689	091	91	1.305282392	92	1.293969193	93	1.283249294	94	1.272309395	95	1.261817996	1.098775717
97	1.090135857
98	1.081320574
99	1.072612244
100	1.064368605
101	1.055828368
102	1.047435337
103	1.038587812
104	1.030291836
105	1.022190361
106	1.013589644
107	1.005689693
108	0.9976726152
109	0.98942235921110	0.98177878311111	0.97441337112112	0.9664263113	113	0.959139114	1114	0.95145115	1.115	0.9439251068
116	0.9361119461
117	0.9287747385
118	0.9212218266
119	0.9135311711
120	0.9066605406
121	0.8994784822
122	0.8929657056
123124	0.98682176124125	0.97890748125126	0.97094320126127	0.96240178127	0.8589989785
128	0.8520315841
129	0.8453469995
130	0.8386224626
131	0.8318502208
132	0.8256649235
133	0.8195064857
134	0.8130449696
135	0.8066178032
136	0.8006965165
137	0.7951356319
138	0.7896391814
139	0.7835526467
140	0.7773885185
141	0.7721566513
142	0.7664140508
143	0.7606034906
