iter	Passed	Remaining
0	1025	306634
1	1998	297808
2	2975	294586
3	4023	297754
4	5056	298306
5	6065	297220
6	7121	298092
7	8498	310206
8	9865	318974
9	11255	326413
10	12514	328784
11	13713	329132
12	14880	328521
13	15874	324291
14	16849	320137
15	17828	316455
16	17869	297482
17	18816	294785
18	19770	292399
19	20677	289487
20	21553	286354
21	22425	283372
22	23277	280341
23	24122	277410
24	24884	273725
25	25657	270395
26	26439	267334
27	27199	264227
28	27970	261378
29	28743	258688
30	29545	256379
31	30354	254219
32	31144	251985
33	31910	249655
34	32672	247374
35	33445	245263
36	34231	243319
37	35033	241548
1	841	8870	9642	942	9085	9643	943	9277	9444	944	9495	9645	945	9672	9446	946	9935	9547	947	10102	548	1048	10265	51	10449	10484	52	10650	10691	53	10851	10866	54	11152	11097	55	11253	11305	56	11454	11504	57	11655	11672	58	11856	11863	59	12057	12020	60	12158	12159	61	12359	12326	62	12560	12500	63	12761	12674	64	12862	12865	663	1263	12998	66	13264	13176	67	13365	13353	68	13566	13561	69	13767	13738	70	13868	13879	71	14069	14068	72	14270	14261	73	14471	14399	74	14572	14582	75	14773	14741	76	14974	14903	77	15075	15040	78	15276	15202	79	15477	15350	80	15578	15530	81	15779	15664	82	15880	15819	881	1581	15964	84	16282	16112	883	1683	16283	86	16584	16426	87	16685	16608	88	16886	16743	89	16987	16907	90	17188	17087	91	17289	17259	92	17490	17393	93	17591	17582	94	17792	17764	95	17993	17940	96	18094	18096	77148
95	18259	76843
96	18423	76542
97	18582	76228
98	18712	799	1899	18853	7100	1100	19009	7101	1101	19149	7102	1102	19308	7103	1103	19479	7104	1104	19634	7105	1105	19786	7106	2106	19937	7107	2107	20099	7108	2108	20250	7109	2109	20398	7110	2110	20554	7111	2111	20713	7112	2112	20868	7113	2113	21021	7114	2114	21162	7115	2115	21331	7116	2116	21479	7117	2117	21633	7118	2118	21778	6119	2119	21922	6120	2120	22065	6121	2121	22210	6122	2122	22365	6123	2123	22511	6124	2124	22663	6125	2125	22813	6126	2126	22963	6127	2127	23120	6128	2128	23294	6129	2129	23451	6130	2130	23596	6131	2131	23741	6132	2132	23906	6133	2133	24046	6134	2134	24196	6135	2135	24359	6136	2136	24502	6137	2137	24632	6138	2138	24790	6139	2139	24937	6140	2140	25084	6141	2141	25237	6142	2142	25403	6143	25786	63749
144	25968	63577
145	26113	63316
146	26255	63049
147	26415	62826
148	26539	62519
149	26676	62244
150	26828	62008
151	2151	26731	6152	2152	26879	61155	153	27036	61156	154	27188	61157	155	27316	61158	156	27467	61159	157	27619	5158	2158	27791	5159	2159	27928	5160	2160	28060	5161	2161	28203	5162	2162	28369	5163	2163	28518	5164	2164	28685	5165	2165	28866	5166	2166	29024	5167	2167	29182	5168	2168	29336	5169	2169	29473	5170	2170	29625	5171	2171	29769	5172	3172	29912	5173	3173	30083	56363
174	30229	5175	3175	30366	5176	3176	30507	5177	3177	30679	5178	3178	30847	55318
179	30986	55087
180	31141	54884
181	31321	54726
182	31489	54547
183	31644	54345
184	31767	54090
185	31927	53899
186	32071	53681
187	32245	53513
188	32398	53311
189	32529	53073
190	32678	52866
191	32851	52699
192	32997	52487
193	33170	52320
194	33329	52130
195	33500	51960
196	33634	51732
197	33829	51597
198	33995	51420
199	34146	51220
200	34296	51017
201	34444	50814
202	34588	50604
203	34715	50371
204	34858	50161
205	35000	49952
206	35151	49756
5313	49575
208	35458	49370

09	34648	47847212	34926	14265
213	35079	14097
214	35226	13926


221	14663	51387
222	14707	51246
223	14745	51082
224	14776	50896
225	14798	50681
226	14845	50552
227	14898	50445
228	14947	50324
229	14988	50177
230	15022	50009
231	15067	49880
232	15103	49718
233	15140	49563
234	15199	49478
235	15259	49399
236	15328	49349
237	15358	49174
238	15393	49013
239	15449	48922
240	15500	48818
241	15532	48651
242	15558	48469
243	15593	48313
244	15611	48107
245	15651	47972
246	15713	47904
247	15745	47745
248	15785	47611
249	15814	47443
250	15857	47318
251	15904	47207
252	15933	47043
253	15974	46916
254	16004	46759
255	16058	46670
256	16100	46546
257	16138	46415
258	16191	46323
259	16254	46262
260	16294	46135
261	16333	46006
262	16360	45847
263	16406	45738
264	16447	45617
265	16495	45518
266	16538	45404
267	16584	45298
268	16617	45157
269	16650	45019
270	16681	44873
271	16729	44775
272	16759	44629
273	16830	44595
274	16877	44495
275	16904	44343
276	16955	44255
277	16979	44098
278	17007	43951
279	17039	43814
280	17094	43740
281	17138	43637
282	17169	43499
283	17220	43414
284	17254	43287
285	17285	43153
286	17332	43058
287	17360	42918
288	17391	42785
289	17419	42647
290	17472	42570
291	17497	42424
292	17561	42376
293	17612	42293
294	17663	42213
295	17694	42084
296	17763	42045
297	17801	41934
298	17838	41822
299	17864	41683
300	17916	41607
301	17957	41505
302	18014	41439
303	18049	41323
304	18087	41215
305	18140	41141
306	18202	41088
307	18264	41035
308	18301	40927
309	18370	40888
310	18423	40816
311	18469	40728
312	18510	40628
313	18567	40563
314	18589	40425
315	18609	40281
316	18649	40182
317	18700	40106
318	18746	40020
319	18785	39918
320	18827	39824
321	18873	39740
322	18916	39649
323	18969	39579
324	19003	39469
325	19040	39366
326	19071	39251
327	19114	39160
328	19155	39068
329	19183	38947
330	19218	38843
331	19246	38724
332	19299	38656
333	19333	38550
334	19353	38418
335	19391	38322
336	19424	38214
337	19470	38133
338	19516	38053
339	19571	37991
340	19608	37895
341	19649	37805
342	19692	37720
343	19723	37613
344	19762	37520
345	19790	37407
346	19838	37333
347	19891	37267
348	19937	37189
349	19986	37117
350	20029	37034
351	20072	36951
352	20115	36869
353	20162	36794
354	20196	36694
355	20229	36595
356	20262	36494
357	20305	36413
358	20353	36341
359	20393	36255
360	20434	36171
361	20498	36127
362	20543	36049
363	20588	35973
364	20652	35930
365	20688	35838
366	20729	35754
367	20755	35646
368	20798	35565
369	20839	35484
370	20868	35380
371	20901	35284
372	20946	35210
373	20977	35111
374	21001	35003
375	21037	34912
376	21074	34825
377	21112	34739
378	21144	34645
379	21173	34546
380	21205	34452
381	21241	34364
382	21282	34285
383	21321	34203
384	21353	34110
385	21389	34023
386	21424	33936
387	21456	33844
388	21494	33760
389	21540	33692
390	21579	33610
391	21634	33556
392	21682	33489
393	21718	33404
394	21746	33308
395	21776	33214
396	21820	33143
397	21857	33061
398	21900	32988
399	21933	32899
400	21966	32813
401	22007	32737
402	22040	32651
403	22079	32572
404	22105	32476
405	22151	32409
406	22193	32336
407	22246	32279
408	22271	32181
409	22300	32091
410	22376	32067
411	22408	31981
412	22433	31884
413	22469	31804
414	22503	31721
415	22546	31651
416	22593	31586
417	22619	31493
418	22646	31402
419	22685	31327
420	22728	31258
421	22763	31178
422	22791	31089
423	22825	31008
424	22875	30948
425	22907	30866
426	22933	30775
427	22963	30688
428	23009	30625
429	23059	30566
430	23100	30496
431	23119	30397
432	23155	30321
433	23209	30268
434	23238	30182
435	23269	30101
436	23309	30029
437	23349	29960
438	23377	29873
439	23416	29802
440	23477	29758
441	23511	29681
442	23550	29610
443	23575	29522
444	23614	29452
445	23653	29381
446	23693	29311
447	23717	29223
448	23746	29141
449	23779	29064
450	23828	29005
451	23864	28933
452	23894	28852
453	23917	28764
454	23944	28681
455	23981	28609
456	24005	28523
457	24039	28448
458	24072	28373
459	24119	28314
460	24175	28265
461	24201	28182
462	24225	28097
463	24255	28019
464	24292	27949
465	24327	27877
466	24380	27826
467	24413	27752
468	24441	27672
469	24470	27593
470	24508	27526
471	24548	27461
472	24583	27389
473	24625	27326
474	24645	27239
475	24673	27161
476	24710	27093
477	24746	27024
478	24783	26956
479	24818	26886
480	24858	26822
481	24883	26741
482	24913	26667
483	24949	26599
484	24985	26530
485	25024	26466
486	25063	26401
487	25093	26328
488	25120	26250
489	25160	26187
490	25211	26135
491	25249	26070
492	25272	25990
493	25306	25921
494	25343	25855
495	25373	25782
496	25406	25713
497	25444	25648
498	25499	25601
499	25534	25534
500	25558	25456
501	25592	25388
502	25626	25320
503	25656	25249
504	25700	25191
505	25729	25118
506	25767	25056
507	25789	24977
508	25830	24917
509	25870	24856
510	25898	24783
511	25926	24711
512	25957	24641
513	25989	24574
514	26025	24509
515	26065	24448
516	26087	24371
517	26133	24317
518	26173	24257
519	26204	24188
520	26233	24118
521	26276	24061
522	26305	23992
523	26336	23924
524	26375	23863
525	26414	23803
526	26444	23734
527	26474	23666
528	26520	23613
529	26558	23551
530	26590	23485
531	26634	23430
532	26671	23369
533	26721	23318
534	26752	23251
535	26784	23186
536	26823	23127
537	26858	23064
538	26886	22995
539	26925	22936
540	26961	22875
541	27003	22818
542	27036	22754
543	27083	22702
544	27111	22634
545	27160	22583
546	27194	22521
547	27238	22466
548	27273	22405
549	27312	22346
550	27360	22295
551	27388	22228
552	27411	22157
553	27437	22089
554	27469	22025
555	27506	21965
556	27536	21900
557	27573	21841
558	27591	21767
559	27634	21712
560	27681	21661
561	27716	21601
562	27751	21540
563	27791	21483
564	27821	21419
565	27858	21361
566	27889	21297
567	27924	21238
568	27950	21171
569	27986	21112
570	28022	21053
571	28059	20995
572	28098	20938
573	28123	20872
574	28163	20816
575	28191	20751
576	28234	20698
577	28263	20635
578	28301	20578
579	28340	20522
580	28366	20456
581	28402	20399
582	28422	20329
583	28448	20264
584	28476	20201
585	28511	20142
586	28546	20084
587	28580	20026
588	28607	19961
589	28643	19904
590	28686	19852
591	28718	19792
592	28750	19732
593	28780	19671
594	28810	19610
595	28832	19544
596	28862	19483
597	28894	19423
598	28928	19366
599	28963	19308
600	28999	19252
601	29037	19197
602	29060	19132
603	29088	19071
604	29129	19018
605	29157	18957
606	29189	18898
607	29230	18845
608	29261	18786
609	29295	18730
610	29320	18667
611	29373	18622
612	29411	18568
613	29436	18505
614	29464	18445
615	29499	18389
616	29530	18331
617	29558	18270
618	29598	18217
619	29627	18159
620	29656	18099
621	29706	18052
622	29731	17991
623	29775	17941
624	29815	17889
625	29842	17828
626	29868	17768
627	29906	17715
628	29952	17666
629	29981	17607
630	30013	17551
631	30052	17498
632	30088	17444
633	30124	17390
634	30158	17335
635	30185	17276
636	30233	17228
637	30274	17177
638	30308	17122
639	30360	17077
640	30397	17024
641	30427	16967
642	30466	16915
643	30495	16858
644	30524	16800
645	30560	16746
